Paso,Desde,→,Hasta,Distancia (km)
1,LA CALERA,→,TAURAMENA,144.09
2,TAURAMENA,→,PAZ DE ARIPORO,229.03
3,PAZ DE ARIPORO,→,OROCUÉ,125.56
4,OROCUÉ,→,EL RETORNO,316.4
5,EL RETORNO,→,SAN JUAN DE ARAMA,216.25
6,SAN JUAN DE ARAMA,→,ALPUJARRA,125.31
7,ALPUJARRA,→,SUCRE,264.16
8,SUCRE,→,BUENOS AIRES,108.38
9,BUENOS AIRES,→,GUADALAJARA DE BUGA,116.44
10,GUADALAJARA DE BUGA,→,PIJAO,63.28
11,PIJAO,→,TÁMESIS,152.34
12,TÁMESIS,→,TARSO,25.58
13,TARSO,→,LA CEJA,46.03
14,LA CEJA,→,ACANDÍ,334.18
15,ACANDÍ,→,SAN PELAYO,163.48
16,SAN PELAYO,→,MORROA,78.18
17,MORROA,→,TURBACO,106.97
18,TURBACO,→,SAN CRISTÓBAL,33.56
19,SAN CRISTÓBAL,→,CONCORDIA,35.71
20,CONCORDIA,→,SAN JUAN NEPOMUCENO,43.12
21,SAN JUAN NEPOMUCENO,→,SAN ZENÓN,106.84
22,SAN ZENÓN,→,SAN CAYETANO,251.58
23,SAN CAYETANO,→,ZAPATOCA,138.5
24,ZAPATOCA,→,SUSACÓN,93.46
25,SUSACÓN,→,SATIVASUR,14.68
26,SATIVASUR,→,SUTAMARCHÁN,111.28
27,SUTAMARCHÁN,→,GUATAQUÍ,178.94
28,GUATAQUÍ,→,SASAIMA,63.04
29,SASAIMA,→,LA CALERA,60.09
